count,city,number_of_veterans,male_population,foreign_born,average_household_size,median_age,state,race,total_population,state_code,female_population
127680,Durham,12528,121153,38642,2.4,33.2,North Carolina,White,257598,NC,136445
1076,Pembroke Pines,6849,77050,62210,2.94,40.3,Florida,American Indian and Alaska Native,166624,FL,89574
61869,Hoover,4819,38040,8229,2.58,38.5,Alabama,White,84839,AL,46799
87612,Gainesville,4788,60803,15272,2.33,26.0,Florida,White,130133,FL,69330
32243,Albuquerque,37443,273323,58200,2.49,36.0,New Mexico,American Indian and Alaska Native,559131,NM,285808
8423,Little Rock,12343,96997,16640,2.36,36.6,Arkansas,Asian,197986,AR,100989
650,Albany,5409,31695,861,2.38,33.3,Georgia,Asian,71109,GA,39414
8993,Sugar Land,4377,43889,31169,2.95,42.1,Texas,Black or African-American,88129,TX,44240
60210,Oshkosh,3809,32905,2348,2.3,33.0,Wisconsin,White,66557,WI,33652
1912,Yuba City,4706,33654,18032,2.9,34.5,California,Black or African-American,66944,CA,33290
849,Framingham,2625,35442,19070,2.49,40.3,Massachusetts,American Indian and Alaska Native,71210,MA,35768
937607,San Antonio,109089,721405,208046,2.93,33.1,Texas,Hispanic or Latino,1469824,TX,748419
3176,Fort Collins,8425,80893,9704,2.45,29.6,Colorado,Black or African-American,161181,CO,80288
48412,Buena Park,3116,41593,28430,3.55,35.7,California,White,83264,CA,41671
876,Eau Claire,3261,32327,2833,2.4,32.0,Wisconsin,American Indian and Alaska Native,67433,WI,35106
33937,Fullerton,5394,69549,43404,2.969999999999999,34.5,California,Asian,140849,CA,71300
1187,Turlock,3397,33190,14686,2.76,36.2,California,American Indian and Alaska Native,72293,CA,39103
5439,North Richland Hills,5175,35257,7854,2.64,39.9,Texas,Black or African-American,69205,TX,33948
876,Carlsbad,6031,55119,17689,2.68,42.1,California,Black or African-American,113466,CA,58347
14661,Citrus Heights,6171,41982,9466,2.49,37.8,California,Hispanic or Latino,87053,CA,45071
688130,Philadelphia,61995,741270,205339,2.61,34.1,Pennsylvania,White,1567442,PA,826172
15065,Yuba City,4706,33654,18032,2.9,34.5,California,Asian,66944,CA,33290
4581,Davie,4655,48754,26532,2.719999999999999,40.8,Florida,Asian,100894,FL,52140
645,New Rochelle,2780,38871,26960,2.85,40.6,New York,American Indian and Alaska Native,79838,NY,40967
77700,Murrieta,7242,49363,19875,3.3,35.3,California,White,109816,CA,60453
133430,Cincinnati,13699,143654,16896,2.08,32.7,Ohio,Black or African-American,298537,OH,154883
5796,Kansas City,24710,228430,37787,2.35,35.9,Missouri,American Indian and Alaska Native,475361,MO,246931
778,East Los Angeles,1101,60460,49575,3.75,32.6,California,American Indian and Alaska Native,119666,CA,59206
3731,Yuma,7182,48298,19326,2.64,33.4,Arizona,Black or African-American,94145,AZ,45847
2819,Bay,3478,37977,13192,2.59,32.9,Texas,Asian,75485,TX,37508
9259,Murrieta,7242,49363,19875,3.3,35.3,California,Black or African-American,109816,CA,60453
4314,Paradise,14112,122784,66712,2.65,37.2,Nevada,American Indian and Alaska Native,236946,NV,114162
1040,Cape Coral,14446,85626,24185,2.85,45.0,Florida,American Indian and Alaska Native,175230,FL,89604
29307,Indianapolis,42186,410615,72456,2.5300000000000002,34.1,Indiana,Asian,848423,IN,437808
1686,Camden,1425,36437,11317,3.0,27.9,New Jersey,Asian,76131,NJ,39694
2248,Suffolk,10114,43048,2829,2.719999999999999,38.2,Virginia,Asian,88161,VA,45113
15641,Chula Vista,12368,131485,82710,3.32,34.6,California,Black or African-American,265754,CA,134269
73977,Nashua,5532,42926,12693,2.46,38.3,New Hampshire,White,87975,NH,45049
40559,Salt Lake City,6829,98364,32166,2.38,32.1,Utah,Hispanic or Latino,192660,UT,94296
63586,Odessa,5509,61119,15845,2.92,31.2,Texas,Hispanic or Latino,118980,TX,57861
54214,Waukegan,3404,45514,30997,2.92,32.3,Illinois,Hispanic or Latino,88347,IL,42833
13118,Redondo Beach,3014,34855,13536,2.34,43.0,California,Asian,68185,CA,33330
48797,Bay,3478,37977,13192,2.59,32.9,Texas,White,75485,TX,37508
154484,Garland,10407,116406,62975,3.12,34.5,Texas,White,236836,TX,120430
8177,Jacksonville,75432,419203,85650,2.62,35.7,Florida,American Indian and Alaska Native,868031,FL,448828
1366,Fort Lauderdale,8897,93948,47582,2.38,42.8,Florida,American Indian and Alaska Native,178587,FL,84639
76425,Cicero,629,43153,33801,3.89,28.5,Illinois,Hispanic or Latino,83867,IL,40714
9291,Carmichael,4225,29281,7378,2.39,41.0,California,Hispanic or Latino,63215,CA,33934
5366,Savannah,9717,69389,10355,2.5700000000000003,30.3,Georgia,Asian,145684,GA,76295
4064,Glendale,13241,116795,44133,2.89,34.4,Arizona,American Indian and Alaska Native,240114,AZ,123319
44849,Union City,1440,38599,32752,3.46,38.5,California,Asian,74510,CA,35911
589,Guaynabo,,33066,,,42.2,Puerto Rico,American Indian and Alaska Native,70492,PR,37426
2914,Milpitas,1608,40098,39436,3.32,36.8,California,Black or African-American,77617,CA,37519
2749,Kansas City,8139,74606,25507,2.71,33.4,Kansas,American Indian and Alaska Native,151261,KS,76655
901,Davenport,7090,50123,4065,2.39,35.2,Iowa,American Indian and Alaska Native,102577,IA,52454
122721,Philadelphia,61995,741270,205339,2.61,34.1,Pennsylvania,Asian,1567442,PA,826172
43060,Seattle,29364,345659,119840,2.13,35.5,Washington,Hispanic or Latino,684443,WA,338784
2434,Clearwater,10631,55225,17686,2.4,47.0,Florida,Asian,112979,FL,57754
174214,Amarillo,11008,99391,21124,2.64,33.8,Texas,White,199651,TX,100260
1376,Saint George,4443,38732,4824,2.81,37.3,Utah,Black or African-American,80207,UT,41475
3407,Appleton,4219,37217,4454,2.49,35.6,Wisconsin,Black or African-American,75255,WI,38038
39445,Clarksville,20803,75029,8211,2.64,29.7,Tennessee,Black or African-American,149190,TN,74161
1956,Sioux City,4093,38827,7471,2.5700000000000003,34.3,Iowa,American Indian and Alaska Native,82776,IA,43949
6389,Fall River,4143,43314,14775,2.21,39.3,Massachusetts,Black or African-American,88770,MA,45456
23395,Vacaville,9064,50091,10577,2.9,35.8,California,Hispanic or Latino,96794,CA,46703
48974,Columbus,40238,413981,101129,2.4,32.5,Ohio,Asian,849067,OH,435086
56866,Kalamazoo,3048,37175,3482,2.36,26.4,Michigan,White,76040,MI,38865
17127,Milpitas,1608,40098,39436,3.32,36.8,California,White,77617,CA,37519
594,Rockville,1990,31205,25047,2.6,38.1,Maryland,American Indian and Alaska Native,66998,MD,35793
449,Naperville,4545,71365,30399,2.76,38.5,Illinois,American Indian and Alaska Native,147159,IL,75794
57032,Reading,2580,43668,17043,2.95,29.4,Pennsylvania,Hispanic or Latino,87873,PA,44205
6130,Washington,25963,319705,95117,2.24,33.8,District of Columbia,American Indian and Alaska Native,672228,DC,352523
7755,Victorville,7484,60989,21959,3.47,30.6,California,Asian,122236,CA,61247
16705,Homestead,2287,31401,24408,3.48,31.4,Florida,Black or African-American,66500,FL,35099
